id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762821444,42491,4,1.0,725,4400,1.0,0,0,4,7,725,0,1954,0,110028,28.6113,77.3421,630,4471,2,62,5220000
6762821632,42491,4,1.5,960,5000,1.0,0,0,4,7,535,425,1954,0,110028,28.4586,77.2708,725,5418,2,64,5160000
6762822054,42491,3,2.25,1000,4015,1.0,0,0,4,8,500,500,1963,0,110030,28.6377,77.2445,1035,4125,1,61,5040000
6762822175,42491,3,1.5,785,3350,1.0,0,0,4,7,785,0,1956,0,110031,28.4165,77.0151,785,3650,3,78,5028000
6762822578,42491,3,2.5,965,5230,2.0,0,0,3,8,965,0,1996,0,110016,28.8365,77.1178,1145,4114,1,63,4890000
6762822721,42491,3,2.0,980,6550,1.0,0,2,5,8,825,155,1957,0,110032,28.5242,76.9186,980,5259,3,72,4836000
6762822791,42491,4,2.5,1815,21442,1.5,0,0,3,9,1150,665,1979,0,110024,28.718,77.1192,1415,40074,1,80,4800000
6762823455,42491,3,3.25,660,663,2.0,0,0,3,8,520,140,2008,0,110033,28.5496,76.9229,720,631,2,51,4620000
6762823582,42491,4,1.75,780,4350,1.0,0,0,4,7,780,0,1967,0,110034,28.6496,77.1265,1040,4000,3,74,4590000
6762824201,42491,4,3.0,1555,3615,2.0,0,0,3,8,1555,0,1997,0,110024,28.6624,77.1744,1410,3655,3,66,4410000
6762824245,42491,3,1.0,545,3217,1.0,0,0,4,7,545,0,1955,0,110035,28.4887,77.0451,670,3217,3,80,4380000
6762825272,42491,3,2.0,965,5973,1.0,0,0,4,8,965,0,1966,0,110036,28.8654,77.0993,1100,6412,2,66,4104000
6762825549,42491,2,2.0,675,1280,1.0,0,0,3,8,675,0,1976,0,110003,28.7721,77.2878,895,1280,1,77,4020000
6762825550,42491,3,2.25,790,8107,1.0,0,0,4,7,790,0,1978,0,110037,28.851,76.9043,725,8107,3,56,4020000
6762826461,42491,3,1.0,580,4590,1.0,0,0,3,7,580,0,1968,0,110038,28.8295,77.2459,580,5141,1,52,3780000
6762826606,42491,3,1.5,670,3956,1.5,0,0,3,7,670,0,1955,0,110039,28.687,76.9354,740,3970,3,65,3756000
6762826811,42491,2,1.0,425,3087,1.0,0,0,4,7,425,0,1950,0,110015,28.8425,76.8684,550,3087,1,60,3702000
6762827056,42491,3,2.5,1270,2525,2.0,0,0,3,7,1270,0,2006,0,110036,28.4425,76.9428,1140,2525,2,64,3600000
6762827347,42491,2,2.5,815,684,2.0,0,0,3,7,640,175,2009,0,110035,28.4941,77.2325,795,1153,1,74,3540000
6762827693,42491,3,3.0,925,9983,1.0,0,0,4,7,545,380,1992,0,110025,28.4217,77.0526,705,3357,2,58,3446400
6762827749,42491,4,2.5,1100,4698,2.0,0,0,3,8,1100,0,1987,0,110040,28.5562,77.2863,1155,4588,3,80,3420000
6762827750,42491,3,2.5,1045,5417,1.0,0,0,4,8,680,365,1987,0,110041,28.5866,77.1124,875,4297,2,56,3420000
6762827836,42491,3,1.75,900,11551,1.0,0,0,3,7,900,0,1968,0,110042,28.5302,76.8611,705,9081,3,62,3408000
6762828162,42491,3,1.5,590,5138,1.0,0,0,3,6,590,0,1983,0,110026,28.7978,77.2084,840,5552,3,78,3300000
6762828790,42491,4,2.0,740,4312,1.0,0,0,4,7,740,0,1974,0,110043,28.5712,76.9051,1065,4251,1,60,3120000
6762828945,42491,3,1.75,685,2929,1.0,0,0,3,7,685,0,1987,0,110044,28.5348,77.2447,700,3750,3,56,3095400
6762829578,42491,3,1.5,600,4860,1.0,0,0,4,7,600,0,1965,0,110036,28.6605,76.9341,690,5142,3,77,2910000
6762829789,42491,2,1.0,605,4700,1.0,0,0,2,6,605,0,1949,0,110035,28.4676,77.0227,790,3013,3,73,2820000
6762815750,42492,4,2.75,1460,3302,2.0,0,0,3,8,1460,0,2012,0,110016,28.7851,77.2306,1515,3302,1,62,7500000
6762817521,42492,2,1.0,450,2500,1.0,0,0,3,7,450,0,1944,0,110006,28.4358,77.3271,640,2500,1,68,6636000
6762823736,42492,3,2.5,825,7027,1.0,0,0,4,7,565,260,1986,0,110012,28.8737,77.0357,970,43777,2,57,4558560
6762826674,42492,3,1.0,505,4972,1.0,0,0,4,6,505,0,1973,0,110007,28.7707,77.2647,695,6355,3,60,3720000
6762813188,42493,3,2.5,1425,3565,2.0,0,0,3,10,995,430,1980,0,110045,28.4954,76.9454,1140,3229,1,52,9402000
6762813282,42493,2,2.5,1340,3696,1.0,0,0,3,9,1340,0,2004,0,110046,28.4027,77.2536,1157,3522,2,65,9300000
6762815716,42493,4,2.0,1140,3005,1.0,0,0,3,7,570,570,1900,0,110045,28.7914,77.1787,1120,3100,1,51,7536000
6762824246,42493,3,2.5,1100,3675,1.0,0,0,5,8,785,315,1988,0,110047,28.7393,76.9464,1175,3778,2,53,4380000
6762825730,42493,4,2.5,1265,4966,2.0,0,2,3,8,1005,260,1990,0,110024,28.7499,77.0013,1070,4966,2,59,3983400
6762810164,42494,7,8.0,6770,153876,3.0,0,4,3,12,4705,2065,1999,0,110046,28.7702,76.9159,2425,108900,1,55,27360000
6762810615,42494,2,2.5,1110,2000,2.0,0,0,3,9,1110,0,2000,0,110048,28.4355,77.0415,935,2000,3,67,17160000
6762810636,42494,5,3.5,2005,4255,2.0,0,1,5,9,1425,580,1971,0,110002,28.5721,76.9518,1305,3064,1,50,16800000
6762811248,42494,4,2.5,2170,70785,2.5,0,0,3,11,2170,0,1992,0,110046,28.4556,77.172,1360,48569,1,73,13080000
6762811411,42494,5,2.75,1595,8460,1.0,0,3,3,9,845,750,1976,0,110028,28.8143,77.3473,1550,6550,1,53,12360000
6762812053,42494,3,1.0,665,38986,1.0,0,0,3,7,665,0,1928,1954,110010,28.6992,76.856,670,8844,3,52,10800000
6762812148,42494,4,4.25,2210,2875,2.0,0,0,3,10,1705,505,2006,0,110012,28.5588,77.1205,2210,2875,1,57,10680000
6762812149,42494,5,3.5,2245,3000,2.0,0,0,3,10,1600,645,2006,0,110012,28.4305,77.1368,2265,3000,2,70,10680000
6762812331,42494,4,3.0,1845,4946,2.0,0,0,3,10,1845,0,1998,0,110021,28.5493,77.3071,1715,5647,3,62,10380000
6762812415,42494,4,2.75,1300,2695,1.0,0,0,4,8,650,650,1960,0,110033,28.5561,77.103,1275,2800,2,69,10260000
6762812659,42494,4,3.0,1085,2000,2.0,0,0,4,9,805,280,1982,2011,110048,28.7502,77.1219,835,2000,3,73,9972000
6762812664,42494,4,2.5,1700,4846,2.0,0,0,3,9,1700,0,2007,0,110003,28.706,77.0858,1535,3687,3,58,9960000
6762812761,42494,6,1.75,1460,2500,2.5,0,0,4,9,1390,70,1908,0,110045,28.8259,76.9845,1010,2500,3,68,9876000
6762812961,42494,5,2.5,1590,6903,2.0,0,0,4,10,1590,0,1990,0,110010,28.6267,76.878,1590,6899,1,76,9610392
6762812963,42494,3,2.5,1620,3928,2.0,0,0,3,10,1620,0,1994,0,110021,28.4574,77.0543,1485,3928,3,66,9600000
6762813152,42494,3,1.75,665,3750,1.0,0,0,3,8,665,0,1961,0,110049,28.7424,76.8763,845,3900,3,56,9444000
6762813210,42494,4,2.5,1365,5140,2.0,0,2,3,9,1365,0,1996,0,110020,28.7652,77.1252,1375,3610,3,79,9360000
6762813361,42494,3,2.0,1175,2850,1.5,0,0,4,8,905,270,1939,0,110048,28.6694,77.0036,1085,3000,1,77,9240000
6762813551,42494,4,2.5,1060,5101,1.0,0,0,4,7,810,250,1960,0,110051,28.7701,77.1168,785,5381,2,73,9060000
6762813766,42494,4,1.75,1005,1800,1.5,0,0,3,7,1005,0,1902,0,110001,28.637,76.9171,1005,1800,2,55,8880000
6762813838,42494,4,2.5,1590,10952,2.0,0,3,3,9,1590,0,2000,0,110016,28.6509,77.3163,1857,14585,2,77,8838000
6762814206,42494,4,2.5,1225,2123,2.0,0,0,3,8,1225,0,2013,0,110003,28.6052,77.2973,1485,2342,1,75,8546376
6762814291,42494,3,2.5,1245,2171,2.0,0,0,3,9,1245,0,2003,0,110011,28.4122,76.945,1065,2053,3,59,8464560
6762814896,42494,3,2.5,840,1000,3.0,0,0,3,9,840,0,1909,1998,110002,28.4518,77.0217,975,2500,3,69,8040000
6762814966,42494,4,2.5,1400,2950,1.0,0,0,3,8,830,570,1963,0,110005,28.4151,77.1567,1290,2950,2,63,7980000
6762815131,42494,4,1.0,695,2120,1.0,0,0,3,7,525,170,1924,0,110029,28.7055,76.8978,905,2120,1,68,7885200
6762815226,42494,3,1.5,1080,4500,1.0,0,2,4,8,700,380,1949,0,110052,28.5509,77.0273,1505,4500,2,75,7800000
6762815643,42494,4,2.5,1220,3325,2.0,0,0,3,9,1220,0,2014,0,110006,28.6441,76.9756,675,3826,2,77,7579500
6762815727,42494,4,2.25,995,3856,1.0,0,0,3,8,605,390,1973,0,110012,28.8356,77.3078,860,3696,3,61,7524000
6762815880,42494,3,1.75,740,1092,2.5,0,0,3,9,740,0,2005,0,110034,28.5197,77.2763,740,1220,2,52,7440000
6762815955,42494,3,2.0,900,2500,1.0,0,0,4,7,540,360,1942,0,110005,28.597,77.1399,900,2500,1,69,7422000
6762815987,42494,4,1.75,1150,5850,1.0,0,0,4,9,980,170,1977,0,110003,28.7627,77.1102,1420,6000,3,50,7380000
6762816274,42494,3,1.75,835,19819,1.0,0,0,4,8,835,0,1976,1992,110021,28.5098,77.3154,1165,15246,1,77,7200000
6762816275,42494,3,1.75,940,3180,1.0,0,0,4,7,520,420,1945,0,110005,28.437,77.3162,885,3087,2,57,7200000
6762816667,42494,2,1.0,885,4320,1.5,0,0,3,6,760,125,1949,0,110006,28.5391,77.3347,530,2402,3,77,7020000
6762816779,42494,2,1.0,1270,3500,1.0,0,0,5,8,660,610,1942,0,110053,28.4774,76.9127,1080,3000,3,77,6960000
6762817053,42494,3,2.25,1005,3000,1.0,0,0,3,8,665,340,1975,0,110003,28.8463,76.9303,1040,4130,2,78,6840000
6762817314,42494,3,2.5,950,4372,2.0,0,0,3,8,950,0,1987,0,110020,28.7879,77.1884,1015,4372,2,58,6720000
6762817450,42494,3,2.5,970,1605,2.0,0,0,3,8,970,0,2009,0,110012,28.704,77.1207,940,1539,3,60,6660000
6762817755,42494,2,1.0,570,2700,1.0,0,0,5,7,570,0,1908,0,110048,28.8183,76.8592,760,2400,1,68,6588000
6762817756,42494,4,2.5,1455,3169,2.0,0,0,3,8,1455,0,2008,0,110016,28.7858,76.881,1250,2938,3,54,6588000
6762817929,42494,5,2.75,1370,4213,1.0,0,0,4,8,685,685,1960,0,110028,28.4896,77.294,1010,4391,1,69,6493500
6762818230,42494,2,3.0,635,587,2.0,0,0,3,8,555,80,2000,0,110029,28.8284,77.2844,645,900,1,71,6372000
6762818400,42494,5,1.75,1275,35937,1.0,0,0,5,7,905,370,1960,0,110012,28.6589,77.0286,1085,25700,2,65,6310656
6762818543,42494,3,1.75,780,2760,1.0,0,0,4,6,390,390,1944,0,110033,28.7876,77.2955,735,3000,3,70,6288000
6762818924,42494,3,2.5,895,1350,2.0,0,0,3,8,895,0,2010,0,110012,28.8301,77.1468,945,1539,1,79,6118800
6762819061,42494,4,1.0,1035,3759,1.0,0,0,3,7,580,455,1963,0,110030,28.5526,77.253,865,3759,2,56,6012000
6762819262,42494,4,2.5,1455,3239,2.0,0,0,3,7,1455,0,2006,0,110007,28.4528,77.0637,1160,2589,1,50,5988000
6762819312,42494,6,2.75,1600,4600,1.0,0,2,4,8,800,800,1953,0,110054,28.5094,76.9067,1110,4750,2,56,5967600
6762819594,42494,4,1.75,1005,4605,1.0,0,0,3,7,735,270,1977,0,110034,28.605,77.0669,920,4250,3,62,5851020
6762819620,42494,4,3.0,1170,3524,1.0,0,0,4,8,670,500,1979,0,110034,28.7926,77.0786,720,4044,1,53,5820000
6762819874,42494,3,2.5,1520,2267,2.0,0,0,3,9,1520,0,2007,0,110055,28.8132,77.1255,1335,2333,2,79,5736000
6762820970,42494,4,2.0,740,1922,1.5,0,0,5,7,740,0,1928,0,110039,28.4033,76.9028,740,1922,1,73,5391000
6762821445,42494,5,2.0,920,4620,1.0,0,0,4,7,770,150,1942,1958,110039,28.6452,77.3457,600,2625,3,78,5220000
6762822174,42494,2,2.5,795,713,2.0,0,0,3,8,795,0,2014,0,110011,28.6004,76.9721,795,713,2,80,5030280
6762822204,42494,3,2.0,705,3015,1.5,0,0,4,7,705,0,1930,0,110029,28.5066,76.9493,705,3150,2,51,5016000
6762822246,42494,3,2.5,704,494,3.0,0,0,3,8,704,0,2005,0,110005,28.4575,77.1134,704,671,1,64,4995432
6762822266,42494,3,2.25,810,499,2.5,0,0,3,8,770,40,2010,0,110012,28.5621,77.1186,810,649,3,59,4980000
6762822453,42494,3,2.25,900,18352,1.0,0,0,4,8,680,220,1978,0,110012,28.8526,77.0699,1365,18202,1,74,4920000
6762822604,42494,3,2.25,705,666,3.0,0,0,3,8,705,0,2005,0,110029,28.5551,77.2359,715,724,2,70,4873200
6762822620,42494,2,3.0,705,620,2.0,0,0,3,8,570,135,2006,0,110017,28.649,77.1083,705,636,3,74,4860000
6762822792,42494,2,1.75,1055,4759,1.0,0,0,2,7,1055,0,1948,0,110015,28.7374,77.1548,740,4759,2,77,4800000
6762822793,42494,2,1.0,420,2755,1.0,0,0,3,7,420,0,1955,0,110017,28.5745,77.2119,815,2755,2,79,4800000
6762823019,42494,3,2.5,1115,2000,2.0,0,0,3,7,1115,0,1954,0,110056,28.8665,76.8625,655,2000,3,78,4785000
6762823544,42494,5,2.5,1545,6375,1.0,0,0,3,8,875,670,1968,0,110019,28.862,77.1353,880,12959,2,63,4618800
6762823717,42494,4,1.75,985,4694,1.0,0,0,5,7,570,415,1960,0,110039,28.5209,77.2921,910,4067,1,72,4559400
6762824223,42494,3,3.0,785,5400,3.0,0,0,3,8,785,0,2008,0,110023,28.6387,76.8587,760,748,1,62,4401000
6762825311,42494,5,1.0,560,4511,1.5,0,0,4,7,560,0,1962,0,110034,28.5444,77.0526,655,3750,3,69,4080000
6762825312,42494,2,1.5,580,719,2.0,0,0,3,7,580,0,2001,0,110056,28.5367,77.3131,610,870,1,72,4080000
6762825869,42494,2,1.0,570,2625,1.5,0,0,4,6,570,0,1949,0,110039,28.4177,77.0266,725,2625,2,65,3959400
6762825928,42494,4,2.5,1185,3250,2.0,0,0,3,9,1185,0,1998,0,110024,28.6926,77.0794,1295,3068,3,60,3936000
6762826775,42494,4,2.75,1155,2500,2.0,0,0,3,7,1155,0,2006,0,110025,28.6413,77.3408,990,2500,3,68,3719400
6762826776,42494,3,2.5,940,3919,2.0,0,0,3,7,940,0,1994,0,110043,28.4247,76.9497,905,3957,3,52,3719400
6762827057,42494,3,2.0,525,5036,1.0,0,0,3,7,525,0,1986,0,110057,28.5338,76.8826,565,5043,3,56,3600000
6762827694,42494,3,1.0,725,3000,1.0,0,0,4,7,725,0,1953,0,110053,28.836,77.2797,585,3232,2,61,3444000
6762829320,42494,3,2.0,775,7520,1.0,0,0,4,6,775,0,1958,0,110016,28.515,77.2842,755,20708,3,65,2999400
6762829453,42494,3,1.75,960,4653,1.0,0,0,3,7,500,460,1984,0,110040,28.4695,77.086,930,4229,3,54,2940000
6762829917,42494,2,1.0,600,4031,1.0,0,0,4,6,600,0,1958,0,110044,28.6349,77.1071,600,3750,2,56,2784000
6762830263,42494,4,1.5,620,4800,1.0,0,0,3,7,620,0,1971,0,110019,28.8731,77.2679,620,4796,1,52,2640000
6762830332,42494,4,1.5,560,2713,1.0,0,0,3,6,560,0,1969,2014,110036,28.5162,77.2193,575,2652,3,77,2638800
6762830530,42494,3,1.0,670,153424,1.0,0,0,3,5,670,0,1953,0,110057,28.7226,76.9826,900,64033,1,58,2520000
6762830531,42494,5,2.0,1025,5100,1.0,0,0,3,6,715,310,1956,0,110044,28.7656,76.8584,970,4312,1,73,2520000
6762830664,42494,2,1.0,405,3579,1.0,0,0,5,6,405,0,1944,0,110058,28.5141,77.0899,545,3579,2,75,2472000
6762831089,42494,3,1.75,745,5062,1.0,0,0,4,7,745,0,1962,0,110040,28.7495,77.2795,1244,2490,1,55,2208000
6762810285,42495,5,4.0,2255,7587,2.0,0,0,3,10,2255,0,1969,2002,110059,28.5765,77.2979,1755,6750,1,65,22440000
6762810310,42495,5,5.0,2245,5139,2.0,0,0,3,10,1965,280,2013,0,110049,28.7035,77.3281,1245,5139,1,68,21600000
6762810471,42495,4,3.25,1880,5460,1.5,0,0,5,9,1200,680,1950,0,110002,28.7041,77.2898,1715,5525,3,62,18960000
6762810939,42495,4,2.25,1745,3453,2.0,0,0,4,10,1140,605,1928,0,110033,28.6572,77.14,1270,3111,1,61,14760000
6762811141,42495,4,2.75,1685,4051,1.0,0,3,3,9,985,700,1970,2014,110017,28.4433,77.0723,1060,3180,2,60,13680000
6762811335,42495,3,2.5,1100,985,2.0,0,0,3,9,805,295,2008,0,110013,28.8009,77.2374,945,1752,3,65,12600000
6762811613,42495,3,2.5,1345,2023,3.0,0,0,3,10,1345,0,2014,0,110006,28.554,77.2199,1020,2500,1,65,11748000
6762811999,42495,3,3.5,1510,2041,2.0,0,0,3,9,1040,470,1954,2004,110033,28.4895,77.1191,1030,2551,1,60,10920000
6762812370,42495,4,2.0,1870,16208,2.0,0,0,3,9,1870,0,2000,0,110046,28.4196,76.8937,1590,16208,2,73,10320000
6762813278,42495,4,2.5,1520,3212,2.0,0,0,3,8,1520,0,2008,0,110003,28.6836,77.313,1520,3900,2,57,9312000
6762813464,42495,4,2.5,1940,7275,2.0,0,0,3,10,1940,0,1987,0,110020,28.7252,77.0778,1620,7022,3,55,9147600
6762813840,42495,4,2.5,1145,6023,2.0,0,0,4,9,1145,0,1988,0,110028,28.408,77.0317,1565,7833,1,50,8832000
6762813978,42495,4,2.5,1600,6184,2.0,0,0,3,10,1600,0,1998,0,110016,28.6458,77.1648,1885,6480,2,61,8701512
6762814626,42495,4,2.5,1515,3932,2.0,0,0,3,9,1515,0,1999,0,110020,28.5087,77.1869,1395,3517,3,74,8220000
6762814788,42495,2,1.0,465,18239,1.0,0,2,3,6,465,0,1951,0,110028,28.7097,76.9553,1400,5570,3,79,8100000
6762815143,42495,4,3.5,1690,4165,2.0,0,0,3,8,1690,0,2000,0,110052,28.4837,77.2685,1110,4165,2,76,7866000
6762815227,42495,3,1.5,815,3737,1.0,0,1,3,7,580,235,1940,0,110005,28.7317,76.995,1160,3737,1,65,7800000
6762815228,42495,5,3.5,1740,18307,2.0,0,0,4,8,1245,495,1983,0,110021,28.5856,76.9433,1270,17955,3,66,7800000
6762816060,42495,4,2.0,1030,2500,1.0,0,0,3,7,515,515,1949,2013,110006,28.8496,77.0532,640,2500,1,66,7350000
6762816083,42495,4,3.0,1225,5058,1.0,0,0,5,8,790,435,1967,0,110028,28.466,77.2153,1265,5062,2,78,7320000
6762816134,42495,4,2.5,1075,18990,2.0,0,0,3,9,1075,0,1985,0,110003,28.5637,77.3327,1225,18990,2,69,7308000
6762816173,42495,4,2.5,1055,6925,2.0,0,0,3,9,1055,0,1987,0,110012,28.4545,77.2546,1260,5097,2,50,7272000
6762816405,42495,4,2.25,1130,14965,2.0,0,0,4,8,700,430,1977,0,110028,28.8439,77.3202,1385,14965,3,58,7188000
6762816780,42495,4,3.25,1784,4163,2.0,0,0,3,10,1784,0,2013,0,110043,28.8211,76.9203,1275,2625,1,69,6960000
6762816917,42495,3,1.75,1065,3250,1.0,0,2,3,8,585,480,1954,0,110033,28.5238,76.8856,1010,2500,3,58,6900000
6762817272,42495,4,3.0,1550,7740,2.0,0,0,3,8,1200,350,1996,0,110060,28.7168,77.1289,1000,21250,2,67,6756000
6762817288,42495,5,2.25,1520,4055,2.0,0,0,3,8,1520,0,1984,0,110003,28.7923,76.9951,1010,4152,3,72,6744000
6762817305,42495,3,2.0,1000,2750,2.0,0,0,3,7,1000,0,1916,1986,110017,28.6665,77.264,920,3500,2,62,6732000
6762818108,42495,3,2.5,925,5054,2.0,0,0,3,8,925,0,1991,0,110034,28.6542,77.186,890,4830,3,56,6420000
6762818202,42495,5,2.75,900,1890,1.5,0,0,3,7,700,200,1926,0,110029,28.5161,77.3354,700,1890,1,79,6396000
6762818237,42495,5,2.5,1455,2566,1.0,0,0,4,7,845,610,1964,0,110030,28.4447,76.9774,1415,5192,3,54,6360000
6762818403,42495,3,2.5,1485,5992,1.0,0,0,3,9,885,600,1995,0,110020,28.8307,77.0929,1495,6024,3,70,6300000
6762818591,42495,3,2.5,1230,27442,2.0,0,0,4,8,1230,0,1980,0,110016,28.8322,77.1006,1385,10703,1,77,6240000
6762818667,42495,3,1.5,715,4000,1.0,0,0,4,7,715,0,1956,0,110031,28.7039,76.9696,725,4000,2,78,6216000
6762818718,42495,3,2.5,895,3583,2.0,0,0,3,8,895,0,1989,0,110020,28.5627,77.145,840,3709,3,71,6180000
6762818810,42495,4,2.5,1000,2842,2.0,0,0,3,8,1000,0,1996,0,110060,28.5676,77.0716,1105,3533,3,72,6156000
6762819071,42495,3,2.5,740,585,3.0,0,0,3,8,740,0,2006,0,110048,28.7485,77.0734,740,615,1,56,6000000
6762819263,42495,2,1.75,585,1200,1.0,0,0,4,7,370,215,1903,0,110029,28.8306,77.0314,785,1959,1,54,5988000
6762819584,42495,5,2.0,1010,2500,1.5,0,0,4,7,1010,0,1938,0,110006,28.8258,76.8585,755,3300,1,57,5856000
6762819621,42495,3,2.0,710,2040,1.5,0,0,3,7,710,0,1905,2013,110029,28.7743,77.111,710,2295,2,55,5820000
6762819707,42495,2,1.75,830,3000,1.0,0,0,3,7,580,250,1942,0,110002,28.7082,77.0176,830,2000,2,76,5808000
6762819714,42495,4,2.5,1370,22866,2.0,0,0,3,8,1370,0,1995,0,110038,28.4404,76.8507,1040,21780,2,70,5802000
6762819923,42495,6,3.0,1735,58806,1.5,0,0,3,7,1735,0,1924,0,110060,28.4776,77.004,1060,8550,3,65,5700000
6762820190,42495,2,1.0,515,2200,1.0,0,0,3,7,515,0,1924,0,110006,28.8313,76.9893,700,2100,2,61,5628000
